year,genre,rating,users_rating,votes,languages,runtime
7,5.0,,8.2,8,1,
7,6.0,2.0,7.6,28,1,
7,1.0,,8.2,152,1,151
8,3.0,,6.5,93,1,
8,1.0,,8.2,61,2,114
8,4.0,,6.2,173,1,
8,5.0,8.0,5.7,"20,979",2,107
8,5.0,,6.9,7,1,
8,3.0,,5.3,41,1,83
8,6.0,,6.8,41,1,90
8,6.0,,6.5,6,1,97
8,6.0,,6.2,329,1,98
8,6.0,,6.5,177,1,90
8,5.0,,7.8,11,1,90
8,5.0,,8.2,10,1,95
8,5.0,1.0,3.8,125,1,90
8,11.0,,6.9,10,1,
8,6.0,,7.0,10,4,80
8,6.0,,6.8,25,1,104
8,8.0,,6.3,26,1,
8,6.0,,6.7,31,1,112
8,8.0,,6.9,129,1,90
8,5.0,,8.4,23,1,99
8,6.0,2.0,5.2,5,1,
8,8.0,8.0,5.1,"4,618",2,
8,1.0,,6.9,170,1,117
8,3.0,,4.5,15,1,83
8,3.0,,6.8,5,1,
8,6.0,,4.5,15,1,
8,5.0,,4.4,5,1,104
8,5.0,,6.2,76,1,100
8,5.0,3.0,6.6,94,5,
8,5.0,,6.3,7,1,107
8,5.0,,7.7,63,1,107
8,6.0,,6.0,81,1,
8,5.0,,6.7,111,1,101
8,3.0,,5.0,14,1,89
8,5.0,,7.0,26,1,
8,5.0,,6.9,18,1,100
8,6.0,,6.8,121,1,
8,6.0,,6.1,8,1,83
8,5.0,,7.2,209,1,110
8,5.0,,6.7,97,1,110
8,5.0,,6.2,17,1,99
8,5.0,,5.4,7,1,
8,5.0,3.0,9.2,19,1,
8,8.0,,6.7,119,1,136
8,5.0,,6.7,21,1,112
8,1.0,,7.0,428,1,137
8,1.0,,7.3,61,1,90
8,5.0,,6.2,23,1,55
8,5.0,,7.4,518,1,89
8,6.0,,5.4,24,1,75
8,8.0,,7.8,12,1,86
8,5.0,,7.0,113,1,100
8,8.0,,2.6,37,1,71
8,5.0,1.0,7.6,"1,023",6,164
8,8.0,,7.5,8,1,108
8,3.0,8.0,6.0,"35,414",2,96
8,5.0,,6.7,19,1,98
8,5.0,7.0,7.1,221,1,104
9,5.0,,4.7,6,1,
9,6.0,,4.7,27,1,80
9,4.0,,7.2,"1,709",1,125
9,5.0,,6.9,15,1,90
9,5.0,,6.1,41,1,90
9,3.0,,5.0,22,1,
9,3.0,,4.5,13,1,77
9,3.0,,6.2,174,1,100
9,5.0,,6.6,34,1,
9,5.0,,5.0,9,1,84
9,5.0,,7.9,20,1,105
9,5.0,,7.2,61,1,96
9,5.0,,7.3,9,1,80
9,5.0,,6.4,23,1,108
9,5.0,,6.8,34,1,
9,6.0,,6.8,38,1,
9,5.0,,6.9,29,1,75
9,5.0,,6.9,42,1,79
9,3.0,2.0,2.4,17,1,80
9,5.0,,8.0,74,1,110
9,6.0,,2.3,14,1,80
9,5.0,,3.6,17,1,95
9,1.0,1.0,7.6,"1,783",1,120
9,8.0,10.0,7.7,31,1,
9,5.0,,6.9,18,1,110
9,3.0,,6.7,49,1,94
9,5.0,,4.7,7,1,97
9,6.0,,5.7,6,1,85
9,3.0,,3.6,23,1,81
9,6.0,,5.2,26,1,76
9,5.0,,6.2,273,1,95
9,5.0,,7.9,10,1,104
9,6.0,,3.5,31,1,77
9,3.0,,5.4,11,1,77
9,3.0,,6.4,13,1,81
9,5.0,,6.6,8,1,
9,5.0,,7.8,71,1,104
9,6.0,,7.5,65,1,137
9,5.0,,6.3,40,1,90
9,5.0,,5.0,6,1,79
9,6.0,,6.2,6,1,91
9,5.0,,6.2,18,1,88
9,4.0,,6.9,176,1,114
9,6.0,,4.8,41,1,79
9,3.0,,3.5,6,1,80
9,5.0,,6.8,25,1,90
9,5.0,,7.0,519,1,111
9,5.0,,6.8,235,1,100
9,7.0,,3.6,7,1,92
9,3.0,,4.6,29,1,84
9,6.0,,6.4,115,1,94
9,5.0,,7.6,42,1,100
9,5.0,,7.3,54,1,105
9,3.0,,3.7,9,1,79
9,3.0,,3.6,12,1,74
9,3.0,,5.9,76,1,102
9,6.0,,7.4,65,1,100
9,5.0,,7.0,29,1,107
9,5.0,,8.0,37,1,
9,5.0,,6.7,7,1,98
9,3.0,,3.1,7,1,77
9,5.0,,6.6,15,1,100
9,5.0,,6.3,7,1,82
9,1.0,,6.2,117,1,115
9,6.0,3.0,7.1,56,1,
9,3.0,2.0,4.2,20,1,84
