year,genre,rating,users_rating,votes,languages,runtime
4.0,8.0,1.0,4.7,504.0,1.0,105.0
4.0,5.0,1.0,5.6,533.0,1.0,125.0
4.0,1.0,2.0,8.8,43.0,1.0,89.5
4.0,4.0,1.0,5.5,404.0,1.0,117.5
5.0,1.0,1.0,6.6,196.0,1.0,105.0
5.0,5.0,1.0,6.5,51.0,1.0,85.0
5.0,5.0,3.0,8.0,6.0,1.0,101.0
5.0,8.0,1.0,1.6,49.0,1.0,94.0
5.0,8.0,1.0,6.4,14.0,1.0,98.0
5.0,4.0,1.0,4.4,153.0,1.0,100.0
5.0,6.0,5.5,6.6,52.0,1.0,103.0
5.0,6.0,1.0,8.0,1472.0,1.0,104.0
5.0,5.0,3.0,7.9,34.0,1.0,96.5
5.0,8.0,1.0,6.1,307.0,1.0,100.0
5.0,11.0,1.0,7.2,15.0,1.0,105.0
5.0,5.0,1.0,7.1,109.0,1.0,77.0
5.0,4.0,1.5,6.5,98.0,1.0,113.0
5.0,6.0,1.0,5.9,564.0,1.0,101.0
5.0,8.0,7.0,6.3,12507.0,1.0,118.0
5.0,5.0,1.0,7.2,12.0,1.0,115.0
5.0,5.0,1.5,6.0,111.0,1.0,102.0
5.0,2.0,1.5,5.8,18.0,1.0,77.0
5.0,5.0,1.5,6.7,40.0,1.0,124.0
5.0,5.0,9.0,7.0,22.0,1.0,100.0
5.0,4.0,9.0,7.3,217.0,1.0,97.0
5.0,8.0,3.0,5.3,23.0,1.0,96.0
5.0,5.0,2.0,6.9,14.0,1.0,112.0
5.0,5.0,2.5,7.0,7.0,1.0,102.0
5.0,8.0,2.0,6.0,6.0,1.0,106.0
5.0,5.0,3.0,8.3,67.0,1.0,118.0
5.0,6.0,4.5,6.6,449.0,1.0,102.5
5.0,12.0,2.0,7.2,11.0,1.0,105.5
5.0,5.0,2.0,6.2,12.0,1.0,89.0
5.0,6.0,1.0,7.5,48.0,1.0,91.5
5.0,8.0,9.0,6.6,53.0,1.0,100.0
5.0,4.0,3.0,8.4,16.0,1.0,101.0
5.0,6.0,1.5,7.2,1241.0,1.0,108.0
5.0,5.0,5.5,7.1,17.0,1.0,90.0
5.0,5.0,1.0,5.6,14.0,1.0,102.0
